10 0.00292161
20 0.00151904
30 0.00108142
40 0.000890256
50 0.000804874
60 0.000782657
70 0.000812214
80 0.000900455
90 0.00107834
100 0.00143745
110 0.00232197
120 0.00678468
130 0.00714076
140 0.00238651
150 0.00147317
160 0.00109811
170 0.000902641
180 0.000790102
190 0.000724059
200 0.000688289
210 0.000675167
220 0.000681574
230 0.000707445
240 0.000755606
250 0.000832726
260 0.000952084
270 0.00114072
280 0.0014601
290 0.00208245
300 0.00373516
310 0.0190663
320 0.00621675
330 0.00271953
340 0.00177304
350 0.0013408
360 0.00109826
370 0.000948043
380 0.000849924
390 0.000784854
400 0.000742809
410 0.000718268
420 0.000708256
430 0.000711462
440 0.000727868
450 0.000758721
460 0.000806806
470 0.000877153
480 0.000978555
490 0.00112689
500 0.0013531
510 0.0017255
520 0.00242917
530 0.00419758
540 0.0161104
550 0.00876899
560 0.00347945
570 0.00219565
580 0.0016239
590 0.00130665
600 0.00110618
610 0.000972356
620 0.000879192
630 0.000813229
640 0.000766771
650 0.000735207
660 0.000715744
670 0.000706758
680 0.000707466
690 0.000717773
700 0.00073825
710 0.000770219
720 0.000815991
730 0.000879329
740 0.000966325
750 0.00108716
760 0.00125979
770 0.00151881
780 0.00193992
790 0.00272598
800 0.0046655
810 0.0167094
820 0.01055
830 0.00403637
840 0.00251713
850 0.00184604
860 0.00147173
870 0.00123646
880 0.00107667
890 0.000963413
900 0.000880842
910 0.000819833
920 0.000774804
930 0.000742216
940 0.000719782
950 0.00070605
960 0.000700158
970 0.000701709
980 0.00071071
990 0.000727569
1000 0.00075315
