VARIABLES= "x" , "y" , "phir","phii","pr","pi" 
ZONE F=FEPOINT,ET=TRIANGLE,N=204,E=353
0.690226 0.14631 -1.4877e-14 2.24829 1.30428 6.37268e-14 
0.352487 0.189954 9.89203 -2.66454e-15 3.03522 6.18394e-14 
0.493019 0.132836 0.288493 3.19189e-16 2.02232 4.22995e-14 
0.192778 0.212514 -1.25455e-14 2.35134 3.52564 -3.77476e-15 
0.0986037 0.105889 -6.10623e-15 2.41334 2.70853 -2.10942e-15 
0 0.0991526 -2.08722e-14 2.41199 2.71339 3.55271e-15 
0.289167 0.149295 -1.75415e-14 2.50577 2.77919 2.14273e-14 
0.394415 0.1261 11.0006 5.01821e-14 2.28491 5.38458e-14 
0.59873 0.0786659 -0.079325 6.245e-15 0.922645 4.9738e-14 
0.798307 0.0718371 -1.44329e-14 2.31918 -0.48617 4.9738e-14 
0.698519 0.0752515 10.1804 2.30926e-14 0.267218 8.03524e-15 
0.898096 0.0684226 0.119463 8.60423e-16 -1.36963 1.90403e-14 
0.997884 0.0650082 -8.10463e-15 2.26303 -2.39164 4.08562e-14 
0.496336 0.0569314 -8.43769e-15 2.16999 1.24685 3.79141e-14 
0.199577 0.0923237 -9.54792e-15 2.26694 2.47665 7.10543e-15 
0.0999308 -0.00440599 -9.10383e-15 2.1398 1.98512 1.73195e-14 
0 -0.000764135 -8.43769e-15 2.26744 2.08325 3.4639e-14 
0.299365 0.0189676 -4.10783e-15 2.13512 1.69909 2.33147e-14 
0.399154 0.0255448 -1.76525e-14 2.21646 1.39529 6.77236e-15 
0.599585 -0.0226153 9.73616 5.15143e-14 -0.118397 4.18554e-14 
0.799446 -0.029899 0.000149335 3.02884e-15 -1.86456 2.77556e-15 
0.699516 -0.0262571 -9.99201e-15 2.31999 -0.921947 2.30371e-14 
0.899377 -0.0335408 10.1971 -1.42109e-14 -2.95789 1.35447e-14 
0.999308 -0.0371827 0.101339 -3.21271e-15 -4.20929 2.08722e-14 
0.499654 -0.0189734 -1.54321e-14 2.18213 0.554783 2.57572e-14 
0.198059 -0.0284083 -1.33227e-15 2.20678 1.70496 2.77556e-15 
0 -0.100681 -7.88258e-15 2.15796 1.65125 2.06501e-14 
0.0990294 -0.104511 9.49278 1.82077e-14 1.56745 1.53211e-14 
0.396118 -0.0560525 -0.0118697 -1.79934e-15 0.851056 2.01505e-14 
0.290898 -0.0763325 -5.55112e-15 2.11584 1.19709 2.29261e-14 
0.591073 -0.103245 -7.32747e-15 2.04862 -0.692701 2.98928e-14 
0.693206 -0.0975189 -1.32117e-14 2.11491 -1.54119 -1.2268e-14 
0.792235 -0.111341 -1.43219e-14 2.06128 -2.68663 1.89848e-14 
0.891265 -0.125163 -1.4766e-14 1.99449 -4.02963 4.39648e-14 
0.990294 -0.138985 -1.26565e-14 1.97991 -5.58201 3.30846e-14 
0.495147 -0.119833 -6.99441e-15 2.06948 -0.0923238 2.59411e-14 
0.198059 -0.108342 9.09164 -1.68754e-14 1.35281 1.19904e-14 
0 -0.200598 -0.00468884 -1.42508e-15 1.49901 -1.59317e-14 
0.104604 -0.215774 -4.55191e-15 2.07032 1.39756 -6.93889e-15 
0.388375 -0.156143 9.10115 2.30926e-14 0.42888 1.79301e-14 
0.282431 -0.171633 0.00864525 -3.12641e-15 0.917637 -2.27596e-15 
0.679655 -0.197739 -2.77556e-15 1.96891 -2.13001 3.91909e-14 
0.582562 -0.183874 -8.54872e-15 1.97598 -1.09736 4.57412e-14 
0.776749 -0.211605 -1.39888e-14 2.06848 -3.34679 1.88738e-14 
0.873843 -0.22547 -1.43219e-14 2.16885 -4.77332 3.57492e-14 
0.970936 -0.239336 -2.43139e-14 2.0583 -6.42765 3.41949e-14 
0.470719 -0.218934 -4.21885e-15 2.16462 -0.27402 -4.05231e-15 
0.209208 -0.230951 -1.9762e-14 2.26111 1.14015 7.16094e-15 
0 -0.300514 -2.18714e-14 2.23443 1.66218 -2.34257e-14 
0.0948167 -0.32505 9.8238 8.92619e-14 1.64618 -1.55431e-15 
0.392266 -0.232531 0.722384 5.88418e-15 0.237389 7.84095e-15 
0.313812 -0.246127 -1.68754e-14 2.27297 0.704434 -7.02216e-15 
0.627625 -0.291657 9.99619 3.9968e-14 -1.87304 2.80886e-14 
0.732229 -0.306834 0.548211 6.46705e-15 -3.19204 4.39648e-14 
0.523021 -0.27648 -2.10942e-14 2.11716 -0.794138 1.60982e-14 
0.847294 -0.313536 -1.27676e-14 2.15454 -4.89839 1.55431e-14 
0.941437 -0.337187 -1.33227e-14 1.9926 -6.60943 2.17604e-14 
0.435827 -0.288835 -9.4369e-15 2.04612 -0.0545241 3.22589e-14 
0.28952 -0.324187 6.66134e-16 2.07322 0.972761 -2.60902e-14 
0.189633 -0.349586 9.1138 1.82077e-14 1.51112 -2.36478e-14 
0 -0.400431 -0.122286 1.07553e-15 2.16426 -1.66533e-14 
0.091213 -0.435848 -1.12133e-14 1.96961 2.34012 9.76996e-15 
0.400936 -0.358737 -4.32987e-15 2.11713 0.359345 1.46966e-14 
0.598263 -0.369693 -9.65894e-15 2.15052 -1.50512 6.10623e-15 
0.701637 -0.402404 -2.88658e-15 2.03495 -2.78466 7.99361e-15 
0.801871 -0.41696 -3.77476e-15 2.20635 -4.32582 7.54952e-15 
0.501169 -0.373293 9.69173 -3.9968e-15 -0.452502 1.07969e-14 
0.902105 -0.431516 -0.017945 4.0714e-15 -6.12415 1.46549e-14 
0.353637 -0.436158 -1.28786e-14 1.89109 1.13915 -1.02696e-14 
0.265227 -0.402247 -7.10543e-15 2.02798 1.46354 -1.03806e-14 
0.188546 -0.425614 8.90304 -3.19744e-14 1.99004 -8.32667e-15 
0 -0.500348 -0.0138662 5.63785e-16 3.08537 -3.10862e-15 
0.187458 -0.501642 -4.21885e-15 1.94921 2.71023 -1.04361e-14 
0.093729 -0.53668 -1.23235e-14 1.85875 3.39039 2.84217e-14 
0.449505 -0.438183 -1.21014e-14 1.95856 0.369991 1.19349e-15 
0.5689 -0.44773 -1.90958e-14 2.08408 -0.856848 1.09912e-14 
0.663717 -0.472266 9.15896 2.62013e-14 -1.98342 1.22125e-14 
0.758534 -0.496801 0.768903 6.38378e-15 -3.34656 3.17524e-14 
0.85335 -0.521337 -1.40998e-14 1.97383 -4.96424 2.10942e-14 
0.397841 -0.503072 -7.88258e-15 1.72044 1.3547 4.16334e-15 
0.273639 -0.506681 -4.10783e-15 1.63342 2.30774 -1.12133e-14 
0 -0.600264 -8.99281e-15 1.56955 4.4032 2.04281e-14 
0.187458 -0.573011 -1.0103e-14 1.81434 3.58373 -7.10543e-15 
0.0795217 -0.663723 7.96885 2.17604e-14 5.41396 -1.33227e-15 
0.512483 -0.512622 0.705715 3.08087e-15 0.280534 2.15106e-15 
0.618864 -0.537892 1.9984e-15 2.09491 -0.875436 9.88098e-15 
0.707273 -0.571803 9.19778 -1.9984e-14 -1.9407 8.65974e-15 
0.795682 -0.605714 -0.013404 -3.34021e-15 -3.22716 1.04361e-14 
0.456065 -0.577514 -7.88258e-15 2.05257 1.61174 7.77156e-16 
0.374916 -0.602854 9.01223 1.90958e-14 2.76462 7.21645e-15 
0.281187 -0.609343 -0.0124616 2.76862e-15 3.58278 0 
0 -0.700181 -1.18794e-14 2.07382 6.274 -3.55271e-15 
0.163061 -0.690903 -1.18794e-14 1.91807 5.67883 1.90958e-14 
0.0795217 -0.743656 -1.13243e-14 1.98298 7.08926 5.32907e-15 
0.547278 -0.61293 -7.66054e-15 1.95679 0.96548 9.38138e-15 
0.638491 -0.648347 -1.14353e-14 1.90008 0.0993644 -7.75768e-15 
0.729704 -0.683763 -1.68754e-14 1.91764 -0.99183 8.65974e-15 
0.468645 -0.65346 8.43104 4.9738e-14 2.55723 -7.77156e-16 
0.328943 -0.68169 0.0184136 3.86149e-15 4.48 2.59792e-14 
0.244592 -0.736222 -1.39888e-14 1.8844 6.19198 3.55271e-15 
0 -0.800098 -2.55351e-15 1.82482 8.57015 5.77316e-15 
0.15094 -0.826763 -1.70974e-14 1.89794 8.9504 1.11022e-14 
0.0676664 -0.859792 -6.99441e-15 1.87175 10.1714 6.66134e-15 
0.562374 -0.704065 -1.08802e-14 1.86284 2.17177 1.0103e-14 
0.656103 -0.754671 8.18686 -2.66454e-15 1.59381 2.57572e-14 
0.383767 -0.745219 0.00346999 6.35624e-15 5.24163 1.79856e-14 
0.479708 -0.781457 -9.10383e-15 1.80534 4.90125 3.55271e-14 
0.311166 -0.787912 -1.22125e-14 1.75256 6.91779 2.22045e-15 
0.238565 -0.830605 -1.27676e-14 1.76354 8.60397 6.21725e-15 
0 -0.900015 -1.82077e-14 1.75384 11.4719 3.77476e-14 
0.201254 -0.902263 -2.22045e-14 1.88295 10.977 2.9754e-14 
0.101998 -0.994785 8.27154 5.28466e-14 14.5727 2.04281e-14 
0.57565 -0.817696 -0.00244889 5.05065e-15 4.3485 1.06581e-14 
0.407653 -0.826861 -1.78746e-14 1.80453 6.94854 1.46549e-14 
0.489184 -0.87218 -1.39888e-14 1.78734 7.11575 3.06422e-14 
0.318087 -0.87408 -1.24345e-14 1.76592 9.19961 1.95399e-14 
0 -1 -2.09832e-14 1.87775 15.0857 2.84217e-14 
0.301881 -0.953346 8.24952 6.26166e-14 11.8835 0 
0.202999 -0.979179 -0.20252 -1.05471e-15 13.5705 2.13163e-14 
0.397609 -0.917555 -4.32987e-15 1.83599 9.66061 6.66134e-15 
2 1 3
2 3 10
10 18 9
19 10 11
19 20 30
18 19 29
11 20 19
26 17 23
2 9 4
17 15 23
10 19 18
2 10 9
3 11 10
29 28 18
30 40 29
31 30 20
31 41 30
64 68 75
69 63 75
56 68 64
36 40 44
65 54 66
44 53 57
40 41 53
30 41 40
9 7 4
23 15 18
28 23 18
28 26 23
47 43 56
58 48 46
63 58 52
70 59 58
46 35 47
58 46 47
48 37 46
21 14 22
6 13 5
6 14 13
33 45 43
32 33 43
26 28 36
36 28 40
33 36 44
33 26 36
14 17 22
15 8 7
22 17 26
14 8 15
29 19 30
15 17 14
9 15 7
9 18 15
21 13 14
6 8 14
31 42 41
5 13 12
55 54 42
58 69 70
58 47 52
49 48 59
37 34 46
49 37 48
62 51 59
39 38 49
34 24 25
56 57 68
47 56 52
45 57 56
76 66 77
79 76 88
65 66 76
57 65 68
53 54 65
42 54 41
55 66 54
88 91 79
76 77 88
57 53 65
55 67 66
52 56 64
12 13 21
53 41 54
44 40 53
45 44 57
45 33 44
28 29 40
21 16 12
32 35 25
33 32 22
43 35 32
25 16 21
67 77 66
43 45 56
35 43 47
34 25 35
27 34 37
27 24 34
32 21 22
46 34 35
24 16 25
22 26 33
25 21 32
89 78 90
68 65 76
67 78 77
38 27 37
60 71 61
51 60 50
39 51 50
49 59 51
62 74 72
60 62 72
70 69 81
59 70 62
59 48 58
81 69 80
93 81 87
74 70 81
85 74 81
82 85 95
82 74 85
62 70 74
39 49 51
49 38 37
91 99 102
69 75 80
88 89 99
99 110 102
88 99 91
89 100 99
78 89 77
90 101 100
83 96 84
73 83 84
71 82 83
83 82 94
81 93 85
115 109 120
85 93 95
87 98 93
149 137 148
140 138 150
128 117 116
140 128 138
140 129 128
128 126 138
105 117 118
116 106 104
127 137 126
100 101 111
99 100 110
89 90 100
94 95 106
107 96 105
71 72 82
61 71 73
72 74 82
60 72 71
60 51 62
61 50 60
112 123 121
71 83 73
107 108 97
96 107 97
84 96 97
94 105 96
83 94 96
82 95 94
105 118 107
134 123 133
124 113 114
104 93 98
126 116 115
95 93 104
98 92 103
106 117 105
115 116 104
126 128 116
79 68 76
86 79 91
92 86 91
92 80 86
75 68 79
86 75 79
63 52 64
75 63 64
69 58 63
112 111 122
123 112 122
133 123 122
132 121 123
121 110 112
125 121 132
110 100 112
119 107 118
118 130 119
108 107 119
106 105 94
104 106 95
116 117 106
138 126 137
152 140 150
141 130 129
124 125 136
147 142 135
120 109 113
115 120 127
126 115 127
104 109 115
114 102 110
124 114 125
113 102 114
120 113 124
103 92 102
109 103 113
98 87 92
109 98 103
109 104 98
103 102 113
80 92 87
81 80 87
75 86 80
91 102 92
110 121 114
77 89 88
100 111 112
146 134 145
129 130 118
117 129 118
140 141 129
158 166 168
139 127 131
148 137 139
160 148 151
160 161 148
159 160 151
161 171 162
148 161 149
170 171 161
117 128 129
162 171 172
150 162 163
150 149 162
178 168 176
195 202 200
177 168 178
191 188 182
199 191 198
197 188 191
121 125 114
134 132 123
155 146 157
165 155 157
144 146 155
145 134 133
154 155 165
147 143 153
144 155 154
134 144 132
134 146 144
150 163 152
141 140 152
161 160 170
138 149 150
138 137 149
169 160 159
179 169 173
179 170 169
182 179 173
161 162 149
135 124 136
147 135 136
131 124 135
142 131 135
151 142 147
139 131 142
148 139 151
137 127 139
127 120 131
146 145 156
158 146 156
164 153 165
165 153 154
167 165 157
175 174 165
120 124 131
139 142 151
132 136 125
132 144 143
153 164 159
136 143 147
159 151 147
153 159 147
164 173 169
177 167 168
164 169 159
180 171 170
188 180 179
181 171 180
172 163 162
168 167 158
172 171 181
143 136 132
154 143 144
154 153 143
190 198 191
182 190 191
179 182 188
189 180 188
170 160 169
173 174 182
180 170 179
164 165 174
186 184 177
195 193 186
187 195 186
203 202 195
192 190 183
200 192 193
200 198 192
204 200 202
192 183 184
182 183 190
186 178 187
196 195 187
193 184 186
175 177 184
158 157 146
166 158 156
167 157 158
175 167 177
175 165 167
174 173 164
183 174 175
183 182 174
189 188 197
189 181 180
176 168 166
191 199 197
186 177 178
192 184 193
183 175 184
204 199 198
178 176 185
200 204 198
185 187 178
190 192 198
187 194 196
195 200 193
185 194 187
194 201 196
203 195 196
TEXT T = <greek>w</greek><sub>r</sub>:4.393
TEXT T = <greek>w</greek><sub>i</sub>:7.3e-15
